REGION,CÓDIGO DANE DEL DEPARTAMENTO,DEPARTAMENTO,CÓDIGO DANE DEL MUNICIPIO,MUNICIPIO
Región Centro Oriente,54,Norte de Santander,"54,418",Lourdes
Región Caribe,8,Atlántico,"8,421",Luruaco
Región Centro Oriente,15,Boyacá,"15,425",Macanal
Región Centro Oriente,68,Santander,"68,425",Macaravita
Región Eje Cafetero - Antioquia,5,Antioquia,"5,425",Maceo
Región Centro Oriente,25,Cundinamarca,"25,426",Macheta
Región Centro Oriente,25,Cundinamarca,"25,430",Madrid
Región Caribe,13,Bolívar,"13,430",Magangué
Región Pacífico,52,Nariño,"52,427",Magüí
Región Caribe,13,Bolívar,"13,433",Mahates
Región Caribe,44,La Guajira,"44,430",Maicao
Región Caribe,70,Sucre,"70,429",Majagual
Región Centro Oriente,68,Santander,"68,432",Málaga
Región Caribe,8,Atlántico,"8,433",Malambo
Región Pacífico,52,Nariño,"52,435",Mallama
Región Caribe,8,Atlántico,"8,436",Manatí
Región Caribe,20,Cesar,"20,443",Manaure
Región Caribe,44,La Guajira,"44,560",Manaure
Región Llano,85,Casanare,"85,139",Maní
Región Eje Cafetero - Antioquia,17,Caldas,"17,001",Manizales
Región Centro Oriente,25,Cundinamarca,"25,436",Manta
Región Eje Cafetero - Antioquia,17,Caldas,"17,433",Manzanares
Región Llano,50,Meta,"50,325",Mapiripán
Región Llano,94,Guainía,"94,663",Mapiripana
Región Caribe,13,Bolívar,"13,440",Margarita
Región Caribe,13,Bolívar,"13,442",María la Baja
Región Eje Cafetero - Antioquia,5,Antioquia,"5,440",Marinilla
Región Centro Oriente,15,Boyacá,"15,442",Maripí
Región Centro Sur,73,Tolima,"73,443",Mariquita
Región Eje Cafetero - Antioquia,17,Caldas,"17,442",Marmato
Región Eje Cafetero - Antioquia,17,Caldas,"17,444",Marquetalia
Región Eje Cafetero - Antioquia,66,Risaralda,"66,440",Marsella
Región Eje Cafetero - Antioquia,17,Caldas,"17,446",Marulanda
Región Centro Oriente,68,Santander,"68,444",Matanza
Región Eje Cafetero - Antioquia,5,Antioquia,"5,001",Medellín
Región Centro Oriente,25,Cundinamarca,"25,438",Medina
Región Pacífico,27,Chocó,"27,425",Medio Atrato
Región Pacífico,27,Chocó,"27,430",Medio Baudó
Región Pacífico,27,Chocó,"27,450",Medio San Juan
Región Centro Sur,73,Tolima,"73,449",Melgar
Región Pacífico,19,Cauca,"19,450",Mercaderes
Región Llano,50,Meta,"50,330",Mesetas
Región Centro Sur,18,Caquetá,"18,460",Milán
Región Centro Oriente,15,Boyacá,"15,455",Miraflores
Región Llano,95,Guaviare,"95,200",Miraflores
Región Pacífico,19,Cauca,"19,455",Miranda
Región Centro Sur,91,Amazonas,"91,460",Miriti Paraná
Región Eje Cafetero - Antioquia,66,Risaralda,"66,456",Mistrató
Región Llano,97,Vaupés,"97,001",Mitú
Región Centro Sur,86,Putumayo,"86,001",Mocoa
Región Centro Oriente,68,Santander,"68,464",Mogotes
Región Centro Oriente,68,Santander,"68,468",Molagavita
Región Caribe,23,Córdoba,"23,464",Momil
Región Caribe,13,Bolívar,"13,468",Mompós
Región Centro Oriente,15,Boyacá,"15,464",Mongua
Región Centro Oriente,15,Boyacá,"15,466",Monguí
Región Centro Oriente,15,Boyacá,"15,469",Moniquirá
Región Eje Cafetero - Antioquia,5,Antioquia,"5,467",Montebello
Región Caribe,13,Bolívar,"13,458",Montecristo
Región Caribe,23,Córdoba,"23,466",Montelíbano
Región Eje Cafetero - Antioquia,63,Quindío,"63,470",Montenegro
Región Caribe,23,Córdoba,"23,001",Montería
Región Llano,85,Casanare,"85,162",Monterrey
Región Caribe,23,Córdoba,"23,500",Moñitos
Región Caribe,13,Bolívar,"13,473",Morales
Región Pacífico,19,Cauca,"19,473",Morales
Región Centro Sur,18,Caquetá,"18,479",Morelia
Región Llano,94,Guainía,"94,888",Morichal
Región Caribe,70,Sucre,"70,473",Morroa
Región Centro Oriente,25,Cundinamarca,"25,473",Mosquera
Región Pacífico,52,Nariño,"52,473",Mosquera
Región Centro Oriente,15,Boyacá,"15,476",Motavita
Región Centro Sur,73,Tolima,"73,461",Murillo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,475",Murindó
Región Eje Cafetero - Antioquia,5,Antioquia,"5,480",Mutatá
Región Centro Oriente,54,Norte de Santander,"54,480",Mutiscua
Región Centro Oriente,15,Boyacá,"15,480",Muzo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,483",Nariño
Región Centro Oriente,25,Cundinamarca,"25,483",Nariño
Región Pacífico,52,Nariño,"52,480",Nariño
Región Centro Sur,41,Huila,"41,483",Nátaga
Región Centro Sur,73,Tolima,"73,483",Natagaima
Región Eje Cafetero - Antioquia,5,Antioquia,"5,495",Nechí
Región Eje Cafetero - Antioquia,5,Antioquia,"5,490",Necoclí
Región Eje Cafetero - Antioquia,17,Caldas,"17,486",Neira
Región Centro Sur,41,Huila,"41,001",Neiva
Región Centro Oriente,25,Cundinamarca,"25,486",Nemocón
Región Centro Oriente,25,Cundinamarca,"25,488",Nilo
Región Centro Oriente,25,Cundinamarca,"25,489",Nimaima
Región Centro Oriente,15,Boyacá,"15,491",Nobsa
Región Centro Oriente,25,Cundinamarca,"25,491",Nocaima
Región Eje Cafetero - Antioquia,17,Caldas,"17,495",Norcasia
Región Caribe,13,Bolívar,"13,490",Norosí
Región Pacífico,27,Chocó,"27,491",Nóvita
Región Caribe,47,Magdalena,"47,460",Nueva Granada
Región Centro Oriente,15,Boyacá,"15,494",Nuevo Colón
Región Llano,85,Casanare,"85,225",Nunchía
Región Pacífico,27,Chocó,"27,495",Nuquí
Región Pacífico,76,Valle del Cauca,"76,497",Obando
Región Centro Oriente,68,Santander,"68,498",Ocamonte
Región Centro Oriente,54,Norte de Santander,"54,498",Ocaña
Región Centro Oriente,68,Santander,"68,500",Oiba
Región Centro Oriente,15,Boyacá,"15,500",Oicatá
Región Eje Cafetero - Antioquia,5,Antioquia,"5,501",Olaya
Región Pacífico,52,Nariño,"52,490",Olaya Herrera
Región Centro Oriente,68,Santander,"68,502",Onzaga
Región Centro Sur,41,Huila,"41,503",Oporapa
Región Centro Sur,86,Putumayo,"86,320",Orito
Región Llano,85,Casanare,"85,230",Orocué
Región Centro Sur,73,Tolima,"73,504",Ortega
Región Pacífico,52,Nariño,"52,506",Ospina
Región Centro Oriente,15,Boyacá,"15,507",Otanche
Región Caribe,70,Sucre,"70,508",Ovejas
Región Centro Oriente,15,Boyacá,"15,511",Pachavita
Región Centro Oriente,25,Cundinamarca,"25,513",Pacho
Región Llano,97,Vaupés,"97,511",Pacoa
Región Eje Cafetero - Antioquia,17,Caldas,"17,513",Pácora
Región Pacífico,19,Cauca,"19,513",Padilla
Región Centro Oriente,15,Boyacá,"15,514",Páez
Región Pacífico,19,Cauca,"19,517",Páez
Región Centro Sur,41,Huila,"41,518",Paicol
Región Caribe,20,Cesar,"20,517",Pailitas
Región Centro Oriente,25,Cundinamarca,"25,518",Paime
Región Centro Oriente,15,Boyacá,"15,516",Paipa
Región Centro Oriente,15,Boyacá,"15,518",Pajarito
Región Centro Sur,41,Huila,"41,524",Palermo
Región Eje Cafetero - Antioquia,17,Caldas,"17,524",Palestina
Región Centro Sur,41,Huila,"41,530",Palestina
Región Centro Oriente,68,Santander,"68,522",Palmar
Región Caribe,8,Atlántico,"8,520",Palmar de Varela
Región Centro Oriente,68,Santander,"68,524",Palmas del Socorro
Región Pacífico,76,Valle del Cauca,"76,520",Palmira
Región Caribe,70,Sucre,"70,523",Palmito
Región Centro Sur,73,Tolima,"73,520",Palocabildo
Región Centro Oriente,54,Norte de Santander,"54,518",Pamplona
Región Centro Oriente,54,Norte de Santander,"54,520",Pamplonita
Región Llano,94,Guainía,"94,887",Pana Pana
Región Centro Oriente,25,Cundinamarca,"25,524",Pandi
Región Centro Oriente,15,Boyacá,"15,522",Panqueba
Región Llano,97,Vaupés,"97,777",Papunaua
Región Centro Oriente,68,Santander,"68,533",Páramo
Región Centro Oriente,25,Cundinamarca,"25,530",Paratebueno
Región Centro Oriente,25,Cundinamarca,"25,535",Pasca
Región Pacífico,52,Nariño,"52,001",Pasto
Región Pacífico,19,Cauca,"19,532",Patía
Región Centro Oriente,15,Boyacá,"15,531",Pauna
Región Centro Oriente,15,Boyacá,"15,533",Paya
Región Llano,85,Casanare,"85,250",Paz de Ariporo
Región Centro Oriente,15,Boyacá,"15,537",Paz de Río
Región Caribe,47,Magdalena,"47,541",Pedraza
Región Caribe,20,Cesar,"20,550",Pelaya
Región Eje Cafetero - Antioquia,17,Caldas,"17,541",Pensilvania
Región Eje Cafetero - Antioquia,5,Antioquia,"5,541",Peñol
Región Eje Cafetero - Antioquia,5,Antioquia,"5,543",Peque
Región Eje Cafetero - Antioquia,66,Risaralda,"66,001",Pereira
Región Centro Oriente,15,Boyacá,"15,542",Pesca
Región Pacífico,19,Cauca,"19,533",Piamonte
Región Centro Oriente,68,Santander,"68,547",Piedecuesta
Región Centro Sur,73,Tolima,"73,547",Piedras
Región Pacífico,19,Cauca,"19,548",Piendamó
Región Eje Cafetero - Antioquia,63,Quindío,"63,548",Pijao
Región Caribe,47,Magdalena,"47,545",Pijiño del Carmen
Región Centro Oriente,68,Santander,"68,549",Pinchote
Región Caribe,13,Bolívar,"13,549",Pinillos
Región Caribe,8,Atlántico,"8,549",Piojó
Región Centro Oriente,15,Boyacá,"15,550",Pisba
Región Centro Sur,41,Huila,"41,548",Pital
Región Centro Sur,41,Huila,"41,551",Pitalito
Región Caribe,47,Magdalena,"47,551",Pivijay
Región Centro Sur,73,Tolima,"73,555",Planadas
Región Caribe,23,Córdoba,"23,555",Planeta Rica
Región Caribe,47,Magdalena,"47,555",Plato
Región Pacífico,52,Nariño,"52,540",Policarpa
Región Caribe,8,Atlántico,"8,558",Polonuevo
Región Caribe,8,Atlántico,"8,560",Ponedera
Región Pacífico,19,Cauca,"19,001",Popayán
Región Llano,85,Casanare,"85,263",Pore
Región Pacífico,52,Nariño,"52,560",Potosí
Región Pacífico,76,Valle del Cauca,"76,563",Pradera
Región Centro Sur,73,Tolima,"73,563",Prado
Región Pacífico,52,Nariño,"52,565",Providencia
Región Caribe,88,"Archipiélago de San Andrés, Providencia y Santa Catalina","88,564",Providencia
Región Caribe,20,Cesar,"20,570",Pueblo Bello
Región Caribe,23,Córdoba,"23,570",Pueblo Nuevo
Región Eje Cafetero - Antioquia,66,Risaralda,"66,572",Pueblo Rico
Región Caribe,47,Magdalena,"47,570",Pueblo Viejo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,576",Pueblorrico
Región Centro Oriente,68,Santander,"68,572",Puente Nacional
Región Pacífico,52,Nariño,"52,573",Puerres
Región Centro Sur,91,Amazonas,"91,530",Puerto Alegría
Región Centro Sur,91,Amazonas,"91,536",Puerto Arica
Región Centro Sur,86,Putumayo,"86,568",Puerto Asís
Región Eje Cafetero - Antioquia,5,Antioquia,"5,579",Puerto Berrío
Región Centro Oriente,15,Boyacá,"15,572",Puerto Boyacá
Región Centro Sur,86,Putumayo,"86,569",Puerto Caicedo
Región Llano,99,Vichada,"99,001",Puerto Carreño
Región Caribe,8,Atlántico,"8,573",Puerto Colombia
Región Llano,94,Guainía,"94,884",Puerto Colombia
Región Llano,50,Meta,"50,450",Puerto Concordia
Región Caribe,23,Córdoba,"23,574",Puerto Escondido
Región Llano,50,Meta,"50,568",Puerto Gaitán
Región Centro Sur,86,Putumayo,"86,571",Puerto Guzmán
Región Caribe,23,Córdoba,"23,580",Puerto Libertador
Región Llano,50,Meta,"50,577",Puerto Lleras
Región Llano,50,Meta,"50,573",Puerto López
Región Eje Cafetero - Antioquia,5,Antioquia,"5,585",Puerto Nare
Región Centro Sur,91,Amazonas,"91,540",Puerto Nariño
Región Centro Oriente,68,Santander,"68,573",Puerto Parra
Región Centro Sur,18,Caquetá,"18,592",Puerto Rico
Región Llano,50,Meta,"50,590",Puerto Rico
Región Llano,81,Arauca,"81,591",Puerto Rondón
Región Centro Oriente,25,Cundinamarca,"25,572",Puerto Salgar
Región Centro Oriente,54,Norte de Santander,"54,553",Puerto Santander
Región Centro Sur,91,Amazonas,"91,669",Puerto Santander
Región Pacífico,19,Cauca,"19,573",Puerto Tejada
Región Eje Cafetero - Antioquia,5,Antioquia,"5,591",Puerto Triunfo
Región Centro Oriente,68,Santander,"68,575",Puerto Wilches
Región Centro Oriente,25,Cundinamarca,"25,580",Pulí
Región Pacífico,52,Nariño,"52,585",Pupiales
Región Pacífico,19,Cauca,"19,585",Puracé
Región Centro Sur,73,Tolima,"73,585",Purificación
Región Caribe,23,Córdoba,"23,586",Purísima
Región Centro Oriente,25,Cundinamarca,"25,592",Quebradanegra
Región Centro Oriente,25,Cundinamarca,"25,594",Quetame
Región Pacífico,27,Chocó,"27,001",Quibdó
Región Eje Cafetero - Antioquia,63,Quindío,"63,594",Quimbaya
Región Eje Cafetero - Antioquia,66,Risaralda,"66,594",Quinchía
Región Centro Oriente,15,Boyacá,"15,580",Quípama
Región Centro Oriente,25,Cundinamarca,"25,596",Quipile
Región Centro Oriente,54,Norte de Santander,"54,599",Ragonvalia
Región Centro Oriente,15,Boyacá,"15,599",Ramiriquí
Región Centro Oriente,15,Boyacá,"15,600",Ráquira
Región Llano,85,Casanare,"85,279",Recetor
Región Caribe,13,Bolívar,"13,580",Regidor
Región Eje Cafetero - Antioquia,5,Antioquia,"5,604",Remedios
Región Caribe,47,Magdalena,"47,605",Remolino
Región Caribe,8,Atlántico,"8,606",Repelón
Región Llano,50,Meta,"50,606",Restrepo
Región Pacífico,76,Valle del Cauca,"76,606",Restrepo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,607",Retiro
Región Centro Oriente,25,Cundinamarca,"25,612",Ricaurte
Región Pacífico,52,Nariño,"52,612",Ricaurte
Región Centro Sur,73,Tolima,"73,616",Rio Blanco
Región Caribe,20,Cesar,"20,614",Río de Oro
Región Pacífico,27,Chocó,"27,580",Río Iro
Región Pacífico,27,Chocó,"27,600",Río Quito
Región Caribe,13,Bolívar,"13,600",Río Viejo
Región Pacífico,76,Valle del Cauca,"76,616",Riofrío
Región Caribe,44,La Guajira,"44,001",Riohacha
Región Eje Cafetero - Antioquia,5,Antioquia,"5,615",Rionegro
Región Centro Oriente,68,Santander,"68,615",Rionegro
Región Eje Cafetero - Antioquia,17,Caldas,"17,614",Riosucio
Región Pacífico,27,Chocó,"27,615",Riosucio
Región Eje Cafetero - Antioquia,17,Caldas,"17,616",Risaralda
Región Centro Sur,41,Huila,"41,615",Rivera
Región Pacífico,52,Nariño,"52,621",Roberto Payán
Región Pacífico,76,Valle del Cauca,"76,622",Roldanillo
Región Centro Sur,73,Tolima,"73,622",Roncesvalles
Región Centro Oriente,15,Boyacá,"15,621",Rondón
Región Pacífico,19,Cauca,"19,622",Rosas
Región Centro Sur,73,Tolima,"73,624",Rovira
Región Centro Oriente,68,Santander,"68,655",Sabana de Torres
Región Caribe,8,Atlántico,"8,634",Sabanagrande
Región Eje Cafetero - Antioquia,5,Antioquia,"5,628",Sabanalarga
Región Caribe,8,Atlántico,"8,638",Sabanalarga
Región Llano,85,Casanare,"85,300",Sabanalarga
Región Caribe,47,Magdalena,"47,660",Sabanas de San Angel
Región Eje Cafetero - Antioquia,5,Antioquia,"5,631",Sabaneta
Región Centro Oriente,15,Boyacá,"15,632",Saboyá
Región Llano,85,Casanare,"85,315",Sácama
Región Centro Oriente,15,Boyacá,"15,638",Sáchica
Región Caribe,23,Córdoba,"23,660",Sahagún
Región Centro Sur,41,Huila,"41,660",Saladoblanco
Región Eje Cafetero - Antioquia,17,Caldas,"17,653",Salamina
Región Caribe,47,Magdalena,"47,675",Salamina
Región Centro Oriente,54,Norte de Santander,"54,660",Salazar
Región Centro Sur,73,Tolima,"73,671",Saldaña
Región Eje Cafetero - Antioquia,63,Quindío,"63,690",Salento
Región Eje Cafetero - Antioquia,5,Antioquia,"5,642",Salgar
Región Centro Oriente,15,Boyacá,"15,646",Samacá
Región Eje Cafetero - Antioquia,17,Caldas,"17,662",Samaná
Región Pacífico,52,Nariño,"52,678",Samaniego
Región Caribe,70,Sucre,"70,670",Sampués
Región Centro Sur,41,Huila,"41,668",San Agustín
Región Caribe,20,Cesar,"20,710",San Alberto
Región Centro Oriente,68,Santander,"68,669",San Andrés
Región Caribe,88,"Archipiélago de San Andrés, Providencia y Santa Catalina","88,001",San Andrés
Región Eje Cafetero - Antioquia,5,Antioquia,"5,647",San Andrés de Cuerquía
Región Pacífico,52,Nariño,"52,835",San Andrés de Tumaco
Región Caribe,23,Córdoba,"23,670",San Andrés Sotavento
Región Caribe,23,Córdoba,"23,672",San Antero
Región Centro Sur,73,Tolima,"73,675",San Antonio
Región Centro Oriente,25,Cundinamarca,"25,645",San Antonio del Tequendama
Región Centro Oriente,68,Santander,"68,673",San Benito
Región Caribe,70,Sucre,"70,678",San Benito Abad
Región Centro Oriente,25,Cundinamarca,"25,649",San Bernardo
Región Pacífico,52,Nariño,"52,685",San Bernardo
Región Caribe,23,Córdoba,"23,675",San Bernardo del Viento
Región Centro Oriente,54,Norte de Santander,"54,670",San Calixto
Región Eje Cafetero - Antioquia,5,Antioquia,"5,649",San Carlos
Región Caribe,23,Córdoba,"23,678",San Carlos
Región Llano,50,Meta,"50,680",San Carlos de Guaroa
Región Centro Oriente,25,Cundinamarca,"25,653",San Cayetano
Región Centro Oriente,54,Norte de Santander,"54,673",San Cayetano
Región Caribe,13,Bolívar,"13,620",San Cristóbal
Región Caribe,20,Cesar,"20,750",San Diego
Región Centro Oriente,15,Boyacá,"15,660",San Eduardo
Región Caribe,13,Bolívar,"13,647",San Estanislao
Región Llano,94,Guainía,"94,883",San Felipe
Región Caribe,13,Bolívar,"13,650",San Fernando
Región Eje Cafetero - Antioquia,5,Antioquia,"5,652",San Francisco
Región Centro Oriente,25,Cundinamarca,"25,658",San Francisco
Región Centro Sur,86,Putumayo,"86,755",San Francisco
Región Centro Oriente,68,Santander,"68,679",San Gil
Región Caribe,13,Bolívar,"13,654",San Jacinto
Región Caribe,13,Bolívar,"13,655",San Jacinto del Cauca
Región Eje Cafetero - Antioquia,5,Antioquia,"5,656",San Jerónimo
Región Centro Oriente,68,Santander,"68,682",San Joaquín
Región Eje Cafetero - Antioquia,17,Caldas,"17,665",San José
Región Eje Cafetero - Antioquia,5,Antioquia,"5,658",San José de La Montaña
Región Centro Oriente,68,Santander,"68,684",San José de Miranda
Región Centro Oriente,15,Boyacá,"15,664",San José de Pare
Región Caribe,23,Córdoba,"23,682",San José de Uré
Región Centro Sur,18,Caquetá,"18,610",San José del Fragua
Región Llano,95,Guaviare,"95,001",San José del Guaviare
Región Pacífico,27,Chocó,"27,660",San José del Palmar
Región Llano,50,Meta,"50,683",San Juan de Arama
Región Caribe,70,Sucre,"70,702",San Juan de Betulia
Región Centro Oriente,25,Cundinamarca,"25,662",San Juan de Río Seco
Región Eje Cafetero - Antioquia,5,Antioquia,"5,659",San Juan de Urabá
Región Caribe,44,La Guajira,"44,650",San Juan del Cesar
Región Caribe,13,Bolívar,"13,657",San Juan Nepomuceno
Región Llano,50,Meta,"50,686",San Juanito
Región Pacífico,52,Nariño,"52,687",San Lorenzo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,660",San Luis
Región Centro Sur,73,Tolima,"73,678",San Luis
Región Centro Oriente,15,Boyacá,"15,667",San Luis de Gaceno
Región Llano,85,Casanare,"85,325",San Luis de Gaceno
Región Caribe,70,Sucre,"70,742",San Luis de Sincé
Región Caribe,70,Sucre,"70,708",San Marcos
Región Caribe,20,Cesar,"20,770",San Martín
Región Llano,50,Meta,"50,689",San Martín
Región Caribe,13,Bolívar,"13,667",San Martín de Loba
Región Centro Oriente,15,Boyacá,"15,673",San Mateo
Región Centro Oriente,68,Santander,"68,686",San Miguel
Región Centro Sur,86,Putumayo,"86,757",San Miguel
Región Centro Oriente,15,Boyacá,"15,676",San Miguel de Sema
Región Caribe,70,Sucre,"70,713",San Onofre
Región Pacífico,52,Nariño,"52,693",San Pablo
Región Caribe,13,Bolívar,"13,670",San Pablo de Borbur
Región Centro Oriente,15,Boyacá,"15,681",San Pablo de Borbur
Región Eje Cafetero - Antioquia,5,Antioquia,"5,664",San Pedro
Región Caribe,70,Sucre,"70,717",San Pedro
Región Pacífico,76,Valle del Cauca,"76,670",San Pedro
Región Pacífico,52,Nariño,"52,694",San Pedro de Cartago
Región Eje Cafetero - Antioquia,5,Antioquia,"5,665",San Pedro de Uraba
Región Caribe,23,Córdoba,"23,686",San Pelayo
Región Eje Cafetero - Antioquia,5,Antioquia,"5,667",San Rafael
Región Eje Cafetero - Antioquia,5,Antioquia,"5,670",San Roque
Región Pacífico,19,Cauca,"19,693",San Sebastián
Región Caribe,47,Magdalena,"47,692",San Sebastián de Buenavista
Región Eje Cafetero - Antioquia,5,Antioquia,"5,674",San Vicente
Región Centro Oriente,68,Santander,"68,689",San Vicente de Chucurí
Región Centro Sur,18,Caquetá,"18,753",San Vicente del Caguán
Región Caribe,47,Magdalena,"47,703",San Zenón
Región Pacífico,52,Nariño,"52,683",Sandoná
Región Caribe,47,Magdalena,"47,707",Santa Ana
Región Eje Cafetero - Antioquia,5,Antioquia,"5,679",Santa Bárbara
Región Pacífico,52,Nariño,"52,696",Santa Bárbara
Región Centro Oriente,68,Santander,"68,705",Santa Bárbara
Región Caribe,47,Magdalena,"47,720",Santa Bárbara de Pinto
Región Caribe,13,Bolívar,"13,673",Santa Catalina
Región Centro Oriente,15,Boyacá,"15,757",Socha
Región Centro Oriente,68,Santander,"68,720",Santa Helena del Opón
Región Centro Sur,73,Tolima,"73,686",Santa Isabel
Región Caribe,8,Atlántico,"8,675",Santa Lucía
Región Centro Oriente,15,Boyacá,"15,690",Santa María
Región Centro Sur,41,Huila,"41,676",Santa María
Región Caribe,47,Magdalena,"47,001",Santa Marta
Región Caribe,13,Bolívar,"13,683",Santa Rosa
Región Pacífico,19,Cauca,"19,701",Santa Rosa
Región Eje Cafetero - Antioquia,66,Risaralda,"66,682",Santa Rosa de Cabal
Región Eje Cafetero - Antioquia,5,Antioquia,"5,686",Santa Rosa de Osos
Región Centro Oriente,15,Boyacá,"15,693",Santa Rosa de Viterbo
Región Caribe,13,Bolívar,"13,688",Santa Rosa del Sur
Región Llano,99,Vichada,"99,624",Santa Rosalía
Región Centro Oriente,15,Boyacá,"15,696",Santa Sofía
Región Pacífico,52,Nariño,"52,699",Santacruz
Región Eje Cafetero - Antioquia,5,Antioquia,"5,042",Santafé de Antioquia
Región Centro Oriente,15,Boyacá,"15,686",Santana
Región Pacífico,19,Cauca,"19,698",Santander de Quilichao
Región Centro Oriente,54,Norte de Santander,"54,680",Santiago
Región Centro Sur,86,Putumayo,"86,760",Santiago
Región Caribe,70,Sucre,"70,820",Santiago de Tolú
Región Eje Cafetero - Antioquia,5,Antioquia,"5,690",Santo Domingo
Región Caribe,8,Atlántico,"8,685",Santo Tomás
Región Eje Cafetero - Antioquia,66,Risaralda,"66,687",Santuario
Región Pacífico,52,Nariño,"52,720",Sapuyes
Región Llano,81,Arauca,"81,736",Saravena
Región Centro Oriente,54,Norte de Santander,"54,720",Sardinata
Región Centro Oriente,25,Cundinamarca,"25,718",Sasaima
Región Centro Oriente,15,Boyacá,"15,720",Sativanorte
Región Centro Oriente,15,Boyacá,"15,723",Sativasur
Región Eje Cafetero - Antioquia,5,Antioquia,"5,736",Segovia
Región Centro Oriente,25,Cundinamarca,"25,736",Sesquilé
Región Pacífico,76,Valle del Cauca,"76,736",Sevilla
Región Centro Oriente,15,Boyacá,"15,740",Siachoque
Región Centro Oriente,25,Cundinamarca,"25,740",Sibaté
Región Centro Sur,86,Putumayo,"86,749",Sibundoy
Región Centro Oriente,54,Norte de Santander,"54,743",Silos
Región Centro Oriente,25,Cundinamarca,"25,743",Silvania
Región Pacífico,19,Cauca,"19,743",Silvia
Región Centro Oriente,68,Santander,"68,745",Simacota
Región Centro Oriente,25,Cundinamarca,"25,745",Simijaca
Región Caribe,13,Bolívar,"13,744",Simití
Región Caribe,70,Sucre,"70,001",Sincelejo
Región Pacífico,27,Chocó,"27,745",Sipí
Región Caribe,47,Magdalena,"47,745",Sitionuevo
Región Centro Oriente,25,Cundinamarca,"25,754",Soacha
Región Centro Oriente,15,Boyacá,"15,753",Soatá
Región Centro Oriente,68,Santander,"68,755",Socorro
Región Centro Oriente,15,Boyacá,"15,755",Socotá
Región Centro Oriente,15,Boyacá,"15,759",Sogamoso
Región Centro Sur,18,Caquetá,"18,756",Solano
Región Caribe,8,Atlántico,"8,758",Soledad
Región Centro Sur,18,Caquetá,"18,785",Solita
Región Centro Oriente,15,Boyacá,"15,761",Somondoco
Región Eje Cafetero - Antioquia,5,Antioquia,"5,756",Sonsón
Región Eje Cafetero - Antioquia,5,Antioquia,"5,761",Sopetrán
Región Caribe,13,Bolívar,"13,760",Soplaviento
Región Centro Oriente,25,Cundinamarca,"25,758",Sopó
Región Centro Oriente,15,Boyacá,"15,762",Sora
Región Centro Oriente,15,Boyacá,"15,764",Soracá
Región Centro Oriente,15,Boyacá,"15,763",Sotaquirá
Región Pacífico,19,Cauca,"19,760",Sotara
Región Centro Oriente,68,Santander,"68,770",Suaita
Región Caribe,8,Atlántico,"8,770",Suan
Región Pacífico,19,Cauca,"19,780",Suárez
Región Centro Sur,73,Tolima,"73,770",Suárez
Región Centro Sur,41,Huila,"41,770",Suaza
Región Centro Oriente,25,Cundinamarca,"25,769",Subachoque
Región Pacífico,19,Cauca,"19,785",Sucre
Región Centro Oriente,68,Santander,"68,773",Sucre
Región Caribe,70,Sucre,"70,771",Sucre
Región Centro Oriente,25,Cundinamarca,"25,772",Suesca
Región Centro Oriente,25,Cundinamarca,"25,777",Supatá
Región Eje Cafetero - Antioquia,17,Caldas,"17,777",Supía
Región Centro Oriente,68,Santander,"68,780",Suratá
Región Centro Oriente,25,Cundinamarca,"25,779",Susa
Región Centro Oriente,15,Boyacá,"15,774",Susacón
Región Centro Oriente,15,Boyacá,"15,776",Sutamarchán
Región Centro Oriente,25,Cundinamarca,"25,781",Sutatausa
Región Centro Oriente,15,Boyacá,"15,778",Sutatenza
Región Centro Oriente,25,Cundinamarca,"25,785",Tabio
Región Pacífico,27,Chocó,"27,787",Tadó
Región Caribe,13,Bolívar,"13,780",Talaigua Nuevo
Región Caribe,20,Cesar,"20,787",Tamalameque
Región Llano,85,Casanare,"85,400",Támara
Región Llano,81,Arauca,"81,794",Tame
Región Eje Cafetero - Antioquia,5,Antioquia,"5,789",Támesis
Región Pacífico,52,Nariño,"52,786",Taminango
Región Pacífico,52,Nariño,"52,788",Tangua
Región Llano,97,Vaupés,"97,666",Taraira
Región Centro Sur,91,Amazonas,"91,798",Tarapacá
Región Eje Cafetero - Antioquia,5,Antioquia,"5,790",Tarazá
Región Centro Sur,41,Huila,"41,791",Tarqui
Región Eje Cafetero - Antioquia,5,Antioquia,"5,792",Tarso
Región Centro Oriente,15,Boyacá,"15,790",Tasco
Región Llano,85,Casanare,"85,410",Tauramena
Región Centro Oriente,25,Cundinamarca,"25,793",Tausa
Región Centro Sur,41,Huila,"41,799",Tello
Región Centro Oriente,25,Cundinamarca,"25,797",Tena
Región Caribe,47,Magdalena,"47,798",Tenerife
Región Centro Oriente,25,Cundinamarca,"25,799",Tenjo
Región Centro Oriente,15,Boyacá,"15,798",Tenza
Región Centro Oriente,54,Norte de Santander,"54,800",Teorama
Región Centro Sur,41,Huila,"41,801",Teruel
Región Centro Sur,41,Huila,"41,797",Tesalia
Región Centro Oriente,25,Cundinamarca,"25,805",Tibacuy
Región Centro Oriente,15,Boyacá,"15,804",Tibaná
